lines	path
5669	admin/components/test-editor-wizard.tsx
5265	frontend/components/exam/reading-exam-preview.tsx
2460	frontend/app/(app)/speaking/speaking-page-client.tsx
2056	frontend/components/layout/app-loading-placeholder.tsx
1878	frontend/app/(app)/writing/submissions/[submissionId]/result/result-client.tsx
1660	frontend/app/(app)/tests/page.tsx
1423	admin/app/(dashboard)/promo-codes/page.tsx
1149	frontend/app/(app)/analytics/[skill]/skill-analytics-client.tsx
1145	frontend/components/subscription/subscription-workspace.tsx
1031	frontend/components/layout/site-shell.tsx
925	frontend/app/exam-preview/writing/writing-exam-client.tsx
902	admin/components/ai-settings-dashboard.tsx
874	frontend/app/(app)/attempts/[attemptId]/result/page.tsx
842	admin/lib/server-data.ts
814	admin/app/(dashboard)/speaking/page.tsx
759	frontend/components/attempt-workspaces.tsx
740	frontend/lib/server-me.ts
735	frontend/components/marketing/pricing-plan-grid.tsx
724	frontend/components/marketing/landing-page-client.tsx
721	frontend/app/(app)/history/history-client.tsx
714	frontend/app/(app)/dashboard/page.tsx
695	frontend/app/(app)/speaking/topics/speaking-topic-picker-client.tsx
679	frontend/app/(app)/speaking/microphone-check/microphone-check-client.tsx
662	admin/app/(dashboard)/users/[id]/page.tsx
631	admin/app/(dashboard)/writing/page.tsx
628	admin/components/writing-task-form.tsx
615	admin/components/payments-manager.tsx
599	admin/components/plans/plan-manager.tsx
540	frontend/components/speaking/part-2-live-view.tsx
510	frontend/app/exam-preview/reading/page.tsx
507	admin/app/(dashboard)/users/page.tsx
500	admin/lib/speaking-icons.ts
499	admin/app/(dashboard)/settings/page.tsx
498	frontend/app/exam-preview/listening/page.tsx
496	frontend/app/(app)/dashboard/streak-heatmap.tsx
493	frontend/components/exam/listening-transcript-panel.tsx
493	admin/app/(dashboard)/tests/page.tsx
488	frontend/app/(app)/settings/page.tsx
481	admin/app/(dashboard)/reviews/page.tsx
479	frontend/lib/types.ts
470	frontend/components/layout/app-shell.tsx
469	frontend/app/(app)/tests/practice-catalog-view.tsx
466	frontend/lib/speaking-topic-icons.ts
465	frontend/lib/analytics.ts
465	admin/lib/types.ts
450	frontend/components/marketing/login-page-client.tsx
447	admin/app/(dashboard)/writing/submissions/page.tsx
445	admin/app/(dashboard)/writing/[taskId]/page.tsx
444	frontend/components/marketing/landing-motion.tsx
435	frontend/app/(app)/leaderboard/page.tsx
430	frontend/lib/api/types.ts
419	admin/app/(dashboard)/writing/submissions/[submissionId]/page.tsx
414	admin/components/login-flow.tsx
412	frontend/lib/weakness-diagnosis.ts
401	frontend/components/start-test-modal.tsx
401	frontend/app/admin/(panel)/tests/page.tsx
401	frontend/app/(app)/dashboard/activity-summary.tsx
392	frontend/lib/seo.ts
388	frontend/lib/server-writing.ts
384	frontend/app/(app)/tests/latest-tests-panel.tsx
384	frontend/app/(app)/analytics/overview-client.tsx
384	admin/lib/writing-api.ts
381	frontend/components/speaking/speaking-result-summary.tsx
380	frontend/components/speaking/part-1-live-view.tsx
374	frontend/src/data/achievements.ts
361	admin/app/(dashboard)/dashboard/page.tsx
356	admin/components/speaking-categories-panel.tsx
354	frontend/src/components/achievements/AchievementModal.tsx
353	frontend/app/(app)/speaking/part-2/live/part-2-live-client.tsx
352	admin/lib/speaking-api.ts
351	frontend/app/(app)/writing/custom-task-card.tsx
340	frontend/components/leaderboard/user-profile-modal.tsx
329	admin/app/(dashboard)/analytics/page.tsx
319	frontend/lib/server-attempts.ts
310	frontend/app/(app)/dashboard/skill-performance.tsx
308	frontend/app/(app)/tests/practice-catalog-utils.ts
