lines	path
5669	admin/components/test-editor-wizard.tsx
5265	frontend/components/exam/reading-exam-preview.tsx
2460	frontend/app/(app)/speaking/speaking-page-client.tsx
1878	frontend/app/(app)/writing/submissions/[submissionId]/result/result-client.tsx
1423	admin/app/(dashboard)/promo-codes/page.tsx
1149	frontend/app/(app)/analytics/[skill]/skill-analytics-client.tsx
1145	frontend/components/subscription/subscription-workspace.tsx
1031	frontend/components/layout/site-shell.tsx
925	frontend/app/exam-preview/writing/writing-exam-client.tsx
902	admin/components/ai-settings-dashboard.tsx
814	admin/app/(dashboard)/speaking/page.tsx
759	frontend/components/attempt-workspaces.tsx
735	frontend/components/marketing/pricing-plan-grid.tsx
714	frontend/app/(app)/dashboard/page.tsx
695	frontend/app/(app)/speaking/topics/speaking-topic-picker-client.tsx
679	frontend/app/(app)/speaking/microphone-check/microphone-check-client.tsx
662	admin/app/(dashboard)/users/[id]/page.tsx
631	admin/app/(dashboard)/writing/page.tsx
628	admin/components/writing-task-form.tsx
615	admin/components/payments-manager.tsx
599	admin/components/plans/plan-manager.tsx
507	admin/app/(dashboard)/users/page.tsx
499	admin/app/(dashboard)/settings/page.tsx
496	frontend/app/(app)/dashboard/streak-heatmap.tsx
493	frontend/components/exam/listening-transcript-panel.tsx
488	frontend/app/(app)/settings/page.tsx
481	admin/app/(dashboard)/reviews/page.tsx
470	frontend/components/layout/app-shell.tsx
450	frontend/components/marketing/login-page-client.tsx
445	admin/app/(dashboard)/writing/[taskId]/page.tsx
419	admin/app/(dashboard)/writing/submissions/[submissionId]/page.tsx
361	admin/app/(dashboard)/dashboard/page.tsx
329	admin/app/(dashboard)/analytics/page.tsx
308	frontend/app/(app)/tests/practice-catalog-utils.ts
